Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Taskmo,2018.0,Bangalore,B2B Marketplace,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,"Prashant Janadari, Naveen Ramchandra",Quess Corp India,1400000.0,Series B,2021-01-01
Mastermentors,2019.0,West Bengal,Edtech,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,"Suraj Juneja, Vijay Rachh, And Aaquib Hussain",Anicut Angel Fund,1500000.0,Series A,2021-01-01
Ruptok,2020.0,New Delhi,Fintech,Ruptok operates as a fintech platform for gold loans,"Ankur Gupta, Akshita Gupta, Yashwardhan Aeren",Wurk,10000000.0,Seed,2021-01-01
Seevc,2020.0,New Delhi,Tech Startup,Leverages artificial intelligence (AI) to build products for the education sector,"Shivam Sood, Lark Aakarshan",Jimmy Singh,1000000.0,Seed,2021-01-01
Junio,2020.0,New Delhi,Edtech,Junio is a kids-focused digital pocket money-smart card.,Shankar Nath,"Kunal Shah, Deepak Abbot",1000000.0,Series C,2021-01-01
Venwiz,2020.0,Bangalore,B2B Service,Digitising the interactions between core industry and vendors for engineering services,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture",300000.0,Seed,2021-01-01
Vista Rooms,2015.0,Mumbai,Hospitality,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""","Amit Damani, Ankita Sheth, Pranav Maheshwari","Singapore Angel Network, Artha India Ventures",1000000.0,Series C,2021-01-01
Makers Hive,2018.0,Hyderabad,Tech Startup,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",Pranav Vempati,"Starfish Growth Partners, Investpad",9000000.0,Series C,2021-01-01
Headfone,2017.0,Bangalore,Social Audio,Headfone helps create and share the audio content with listeners.,"Pratham Khandelwal, Yogesh Sharma",Hashed,3000000.0,Seed,2021-01-01
Mpl,2018.0,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000.0,Pre-series A,2021-01-01
Growfix,2020.0,Bangalore,Fintech,Building high-yield Debt assets for retail investors,"Ajinkya Kulkarni, Abhik Patel","Zerodha'S Rainmatter Capital, Better Capital",2000000.0,Seed,2021-01-01
Bombay Shaving Company,2016.0,New Delhi,Fashion And Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Sixth Sense Ventures, Colgate Palmolive",6000000.0,Debt,2021-01-01
Dunzo,2015.0,Bangalore,Delivery Service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",40000000.0,Series E,2021-01-01
Beyondskool,2020.0,Mumbai,Edtech,BeyondSkool is a live upskilling platform for kids,Payal Gaba,Tomorrow Capital,2000000.0,Seed,2021-01-01
Mindler,2015.0,New Delhi,Edtech,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek Bhargava,"Inflection Point Ventures, Dlabs",1000000.0,Pre-series A,2021-01-01
Fashinza,2020.0,Gurgaon,B2B Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital",2600000.0,Seed,2021-01-01
Bharatpe,2018.0,New Delhi,Fintech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Innoven Capital, Steadview Capital",6000000.0,Debt,2021-01-01
Turnip,2020.0,Bangalore,Gaming,Turnip is a live game streaming and community platform.,"Aditya Sharma, Pooja Dubey",Elevation Capital,1600000.0,Seed,2021-01-01
Furlenco,2012.0,Bangalore,Home Decor,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,Ajith Karimpana,Blacksoil Capital,2000000.0,Series A,2021-01-01
Inficold,2015.0,New Delhi,Solar,Provide uninterrupted and affordable cooling for refrigeration,"Himanshu Pokharna, Nitin Goel",Shell Foundation,900000.0,Pre-series A,2021-01-01
Kiwi,2020.0,New Delhi,Taas Startup,"A peer to peer support network, which would enable billions of users across the world","Imran Ladiwala, Mishu Ahluwalia","Pointone Capital, Core91 Vc",250000.0,Seed,2021-01-01
Bharatpe,2018.0,New Delhi,Fintech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Innoven Capital, Steadview Capital",10000000.0,Debt,2021-01-01
Mfine,2017.0,Bangalore,Health Care,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,"Ajit Narayanan, Ashutosh Lawania, Prasad Kompalli","Blockchain Capital, Sbi Ven Capital",16000000.0,Seed,2021-01-01
Udayy,2019.0,Gurgaon,Edtech,Interactive learning platform for kids,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,2500000.0,Seed,2021-01-01
Lohum,2017.0,Noida,Ev Startup,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,Rajat Verma,"Baring Private Equity Partners India, Talbros",7000000.0,Series A,2021-01-01
Darwinbox,2015.0,Hyderabad,Hr Tech,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform.,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni","Sequoia Capital India, 3One4 Capital",15000000.0,Seed,2021-01-01
Dehaat,2012.0,Patna,Agritech,DeHaat connects farmers to suppliers and buyers on a single platform.,"Shashank Kumar, Manish Kumar","Prosus Ventures, Rtp Global",30000000.0,Series C,2021-01-01
Samunnati,2014.0,Chennai,Agritech,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,Anil Kumar,"U.S. International Development Finance Corp, Responsability",10000000.0,Debt,2021-01-01
Biconomy,2019.0,New Delhi,Blockchain Startup,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital",1500000.0,Seed,2021-01-01
True Elements,2011.0,Pune,Food And Beverages,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!","Puru Gupta, Sreejith Moolayil",Rp-Sanjiv Goenka Group,1000000.0,Seed,2021-01-01
Siply,2020.0,Bangalore,Fintech,Siply Services operates as a micro-savings platform.,Sousthav Chakrabarty,Inflection Point Ventures,1000000.0,Seed,2021-01-01
Nao Spirits & Beverages Pvt Ltd,2016.0,New Delhi,Beverages,India's first Craft Gin company,Anand Virmani,Blue Ashva Capital,2000000.0,Series A,2021-01-01
Purpletutor,2019.0,Mumbai,Edtech,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,"Gaurav Perti, Yatish Gupta",Ivycap Ventures,300000.0,Seed,2021-01-01
Karkhana.Io,2018.0,Mumbai,Manufacturing Startup,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam Motwani,Zone Startups In,1500000.0,Seed,2021-01-01
Ssa Finserv,2019.0,Mumbai,Fintech,Small businesses-focused non-banking lender,Vikas Agarwal,Blue Ashva Capital,3000000.0,Debt,2021-01-01
Coinswitch Kuber,2017.0,Bangalore,Cryptocurrency,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",15000000.0,Series A,2021-01-01
Paperfly,2016.0,Bangalore,E-Commerce,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,11000000.0,Series C,2021-01-01
Infra.Market,2016.0,Thane,E-Commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Souvik Sengupta, Aaditya Sharda",Innoven Capital,6000000.0,Debt,2021-01-01
Readyassist,2018.0,Bangalore,Vehicle Repair Startup,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Vimal Singh Sv,Satish Grampurohit,1000000.0,Seed,2021-01-01
Chalo,2014.0,Mumbai,It,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",7000000.0,Series B,2021-01-01
Udaan,2016.0,Bangalore,E-Commerce,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform","Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital",280000000.0,Series B,2021-01-01
Unacademy,2015.0,Bangalore,Edtech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",50000000.0,Seed,2021-01-01
Ergos,2012.0,Samsitpur,Agritech,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"Kishor Kumar Jha, Praveen Kumar","Cdc Group, Aavishkaar Venture Capital",3000000.0,Series A,2021-01-01
Knocksense,2016.0,Lucknow,Media,Knocksense which owns and operates an eponymous digital content platform.,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",200000.0,Series C,2021-01-01
Pariksha,2015.0,Pune,Edtech,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",1800000.0,Series B,2021-01-01
Toothsi,2018.0,Mumbai,Healthcare,ToothSi is a new age startup in the dental space providing smile correction services at home.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,5000000.0,Series A,2021-01-01
Jumbotail,2015.0,Bangalore,Food And Beverages,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (Hnis)",14300000.0,Series B3,2021-01-01
Phi Commerce,2015.0,Pune,Fintech,"Payments Facilitator, Payments solution provider etc.","Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, Beenext",4000000.0,Series A,2021-01-01
Zupee,2018.0,Gurgaon,Gaming,Zupee is a skill-based gaming app that enables its users to play against each-other live,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",10000000.0,Series B,2021-01-01
Finsall,2019.0,Bangalore,Insuretech,Finsall provides Insurance Premium Financing,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,300000.0,Seed,2021-01-01
Legalwiz.In,2015.0,Ahmedabad,Legaltech,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay Sheth, Gaurav Barot",Contcentric,500000.0,Debt,2021-01-01
Practically,2018.0,Telangana,Edtech,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,4000000.0,Pre-series B,2021-01-01
Cred,2018.0,Bangalore,Fintech,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal Shah,"Dst Global, General Catalyst",81000000.0,Series C,2021-01-01
Devic Earth,2018.0,Bangalore,Pollution Control Equiptment,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Dr Srikanth Sola,Blue Ashva Capital,1000000.0,Seed,2021-01-01
Zerone,2018.0,Gurgaon,Fintech,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Jaijit Bhattacharya,Anthill Ventures,1300000.0,Pre-series A,2021-01-01
Boat,2016.0,Mumbai,Fashion & Lifestyle,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"Aman Gupta, Sameer Mehta","Innoven Capital, Innoven Capita",100000000.0,PE,2021-01-01
Pocket Aces,2013.0,Mumbai,Media,Pocket Aces is a digital entertainment company focused on mobile video.,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3One4 Capital, Dsp Group",2000000.0,Seed,2021-01-01
Kyt,2020.0,Bangalore,Edtech,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,5000000.0,Series A,2021-01-01
Imumz,2019.0,Bangalore,Healthcare,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, Angellist",300000.0,Series A,2021-01-01
Bharatpe,2018.0,New Delhi,Fintech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000.0,Debt,2021-01-01
Cropin,2010.0,Bangalore,Agritech,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,"Invested Development, Pratithi Investment Trust",20000000.0,Series C,2021-01-01
Vanity Wagon,2018.0,Haryana,Cosmetics,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",Prateek Ruhail,"Dhianu Das, Agility Venture Partners",200000.0,Seed,2021-01-01
Oyo,2012.0,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,7000000.0,Series F1,2021-01-01
Blacksoil,2016.0,Mumbai,Fintech,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,Awign Enterprises,4000000.0,Series C,2021-01-01
Hobspace,2019.0,Mumbai,Edtech,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",100000.0,Pre-series A1,2021-01-01
Dcodeai,2020.0,New Delhi,Edtech,EMPOWER LEARNERS TO BE FUTURE READY USING AI,"Kartik Sharma, Ashish Aggarwal",S Chand,500000.0,Seed,2021-01-01
Biocon Biologics,1978.0,Bangalore,Biotechnology,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",70000000.0,Pre-seed,2021-01-01
Kiranakart,2020.0,Mumbai,E-Commerce,A better model for instant grocery delivery in India.,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,720000.0,Pre-seed,2021-01-01
Meddo,2018.0,Gurgaon,Healthcare,Meddo is an end-to-end medical services provider,Saurabh Kochhar,"Growx Ventures, Venture Gurukool",3000000.0,Pre-series A,2021-01-01
Sp Robotic Works,2012.0,Chennai,Edtech,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000.0,Series A,2021-01-01
3Sc,2018.0,Gurugram,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",Gef Capital’S South Asia Fund,15000000.0,Series B,2021-01-01
Chai Waale,2018.0,Chennai,Food & Beverages,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000.0,Seed,2021-01-01
Minimalist,2020.0,Jaipur,Cosmetics,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,10000000.0,Series A,2021-01-01
